आजको खबर के छ?	What's the news today?
कनाडा कस्तो देश हो?	What kind of country is Canada?
नमस्ते, मेरो नाम David हो। मैले जापान बाट आएको हुँ।	Hello, my name is David. I came from Japan.
के तपाइँ Japanबाट हुनुहुन्छ?	Are you from Japan?
मेरो परिवार पनि जापानमा छ।	My family is also in Japan.
जापान कस्तो देश हो?	What kind of country is Japan?
नमस्ते, मेरो नाम David हो। मैले दक्षिण कोरिया बाट आएको हुँ।	Hello, my name is David. I came from South Korea.
के तपाइँ South Koreaबाट हुनुहुन्छ?	Are you from South Korea?
मेरो परिवार पनि दक्षिण कोरियामा छ।	My family is also in South Korea.
दक्षिण कोरिया कस्तो देश हो?	What kind of country is South Korea?
नमस्ते, मेरो नाम David हो। मैले स्पेन बाट आएको हुँ।	Hello, my name is David. I came from Spain.
के तपाइँ Spainबाट हुनुहुन्छ?	Are you from Spain?
मेरो परिवार पनि स्पेनमा छ।	My family is also in Spain.
स्पेन कस्तो देश हो?	What kind of country is Spain?
नमस्ते, मेरो नाम David हो। मैले इटली बाट आएको हुँ।	Hello, my name is David. I came from Italy.
के तपाइँ Italyबाट हुनुहुन्छ?	Are you from Italy?
मेरो परिवार पनि इटलीमा छ।	My family is also in Italy.
इटली कस्तो देश हो?	What kind of country is Italy?
नमस्ते, मेरो नाम David हो। मैले थाइल्यान्ड बाट आएको हुँ।	Hello, my name is David. I came from Thailand.
के तपाइँ Thailandबाट हुनुहुन्छ?	Are you from Thailand?
मेरो परिवार पनि थाइल्यान्डमा छ।	My family is also in Thailand.
थाइल्यान्ड कस्तो देश हो?	What kind of country is Thailand?
नमस्ते, मेरो नाम David हो। मैले मलेसिया बाट आएको हुँ।	Hello, my name is David. I came from Malaysia.
के तपाइँ Malaysiaबाट हुनुहुन्छ?	Are you from Malaysia?
मेरो परिवार पनि मलेसियामा छ।	My family is also in Malaysia.
मलेसिया कस्तो देश हो?	What kind of country is Malaysia?
नमस्ते, मेरो नाम David हो। मैले सिङ्गापुर बाट आएको हुँ।	Hello, my name is David. I came from Singapore.
के तपाइँ Singaporeबाट हुनुहुन्छ?	Are you from Singapore?
मेरो परिवार पनि सिङ्गापुरमा छ।	My family is also in Singapore.
सिङ्गापुर कस्तो देश हो?	What kind of country is Singapore?
नमस्ते, मेरो नाम David हो। मैले भारत बाट आएको हुँ।	Hello, my name is David. I came from India.
के तपाइँ Indiaबाट हुनुहुन्छ?	Are you from India?
मेरो परिवार पनि भारतमा छ।	My family is also in India.
भारत कस्तो देश हो?	What kind of country is India?
नमस्ते, मेरो नाम David हो। मैले श्रीलङ्का बाट आएको हुँ।	Hello, my name is David. I came from Sri Lanka.
